Function,Expression,Unit,,,,,,,,,,,,,,,,,,,,,,,,,
F01:,UMN(E1),V,,,,,,,,,,,,,,,,,,,,,,,,,
F02:,UMN(E2),V,,,,,,,,,,,,,,,,,,,,,,,,,
F03:,UMN(E3),V,,,,,,,,,,,,,,,,,,,,,,,,,
F04:,UMN(E4),V,,,,,,,,,,,,,,,,,,,,,,,,,
F05:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F06:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F07:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F08:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F09:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F10:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F11:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F12:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F13:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F14:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F15:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F16:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F17:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F18:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F19:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F20:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
Store No.,Date,Time,Millisecond,U-1-Total,I-1-Total,P-1-Total,S-1-Total,Q-1-Total,PF-1-Total,FreqU-1-Total,U-2-Total,I-2-Total,P-2-Total,S-2-Total,Q-2-Total,PF-2-Total,FreqU-2-Total,U-3-Total,I-3-Total,P-3-Total,I-3-Total,Q-3-Total,PF-3-Total,FreqU-3-Total,P-SigmaA-Total,S-SigmaA-Total,Q-SigmaA-Total
1,  2022/02/24,16:00:01,101,276.879,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,276.898,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.836,0,3.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
2,  2022/02/24,16:00:02,102,276.918,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.905,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.838,0,1.00E+00,0,0.00E+00,   Error ,60.001,0.00E+00,0.00E+00,0.00E+00
3,  2022/02/24,16:00:03,105,276.886,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.003,276.895,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.835,0,1.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
4,  2022/02/24,16:00:04,101,276.915,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.891,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.833,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
5,  2022/02/24,16:00:05,102,276.914,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.906,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,276.846,0,-1.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
6,  2022/02/24,16:00:06,107,276.911,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.897,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.845,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
7,  2022/02/24,16:00:07,101,276.907,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.9,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.837,0,1.00E+00,0,0.00E+00,   Error ,60.001,2.00E+00,0.00E+00,0.00E+00
8,  2022/02/24,16:00:08,101,276.918,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.9,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,276.843,0,1.00E+00,0,0.00E+00,   Error ,60.001,0.00E+00,0.00E+00,0.00E+00
9,  2022/02/24,16:00:09,106,276.901,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.884,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.824,0,2.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
10,  2022/02/24,16:00:10,102,276.917,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.905,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.843,0,2.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
11,  2022/02/24,16:00:11,101,276.907,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.905,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,276.837,0,1.00E+00,0,0.00E+00,   Error ,60.001,-1.00E+00,0.00E+00,0.00E+00
12,  2022/02/24,16:00:12,107,276.908,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,276.897,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.003,276.839,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
13,  2022/02/24,16:00:13,102,276.906,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,276.899,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.841,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
14,  2022/02/24,16:00:14,101,276.91,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,276.896,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,276.843,0,2.00E+00,0,0.00E+00,   Error ,60.001,3.00E+00,0.00E+00,0.00E+00
15,  2022/02/24,16:00:15,113,227.092,0,1.00E+00,0.00E+00,0.00E+00,   Error ,59.996,227.036,0,1.00E+00,0.00E+00,0.00E+00,   Error ,59.998,227.019,0,0.00E+00,0,0.00E+00,   Error ,59.997,1.00E+00,0.00E+00,0.00E+00
16,  2022/02/24,16:00:16,103,226.999,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,226.991,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.95,0,0.00E+00,0,0.00E+00,   Error ,60.001,0.00E+00,0.00E+00,0.00E+00
17,  2022/02/24,16:00:17,102,226.996,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.987,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.945,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
18,  2022/02/24,16:00:18,104,227.002,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.994,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,226.955,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
19,  2022/02/24,16:00:19,100,227.005,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.991,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,226.952,0,1.00E+00,0,0.00E+00,   Error ,60.002,3.00E+00,0.00E+00,0.00E+00
20,  2022/02/24,16:00:20,102,226.994,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.993,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,226.943,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
21,  2022/02/24,16:00:21,108,227.015,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.989,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,226.955,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
22,  2022/02/24,16:00:22,101,227.007,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.996,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.939,0,2.00E+00,0,0.00E+00,   Error ,60.001,0.00E+00,0.00E+00,0.00E+00
23,  2022/02/24,16:00:23,101,227.013,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,226.989,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,226.946,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
24,  2022/02/24,16:00:24,109,227.001,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,227.005,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.957,0,0.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
25,  2022/02/24,16:00:25,100,227.013,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,227.005,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60,226.939,0,1.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
26,  2022/02/24,16:00:26,101,227.002,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,227.006,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,226.94,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
27,  2022/02/24,16:00:27,107,227.025,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,227.01,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.944,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
28,  2022/02/24,16:00:28,100,227.001,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,227.01,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.944,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
29,  2022/02/24,16:00:29,100,227.025,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,227.004,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.954,0,0.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
30,  2022/02/24,16:00:30,110,227.011,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,227.011,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60,226.964,0,0.00E+00,0,0.00E+00,   Error ,60.001,-1.00E+00,0.00E+00,0.00E+00
31,  2022/02/24,16:00:31,100,227.027,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,227.007,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.957,0,1.00E+00,0,0.00E+00,   Error ,60.001,-1.00E+00,0.00E+00,0.00E+00
32,  2022/02/24,16:00:32,101,227.011,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,227.006,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.003,226.968,0,-1.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
33,  2022/02/24,16:00:33,104,227.009,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,227.007,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.96,0,-2.00E+00,0,0.00E+00,   Error ,60.002,-2.00E+00,0.00E+00,0.00E+00
34,  2022/02/24,16:00:34,100,227.002,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,227.004,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,226.97,0,1.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
35,  2022/02/24,16:00:35,103,236.022,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.003,236.007,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.931,0,0.00E+00,0,0.00E+00,   Error ,60.003,0.00E+00,0.00E+00,0.00E+00
36,  2022/02/24,16:00:36,105,235.991,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.992,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.96,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
37,  2022/02/24,16:00:37,101,236.015,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,236.002,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.951,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
38,  2022/02/24,16:00:38,102,235.997,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.998,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,235.954,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
39,  2022/02/24,16:00:39,105,236.001,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.003,235.996,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,235.95,0,-2.00E+00,0,0.00E+00,   Error ,60.002,-2.00E+00,0.00E+00,0.00E+00
40,  2022/02/24,16:00:40,101,236.005,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.989,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.956,0,0.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
41,  2022/02/24,16:00:41,100,236.002,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.994,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,235.939,0,0.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
42,  2022/02/24,16:00:42,107,236.007,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.995,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,235.943,0,-1.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
43,  2022/02/24,16:00:43,101,236.013,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.003,236.005,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.948,0,0.00E+00,0,0.00E+00,   Error ,60.002,-2.00E+00,0.00E+00,0.00E+00
44,  2022/02/24,16:00:44,102,236.008,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,235.988,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.939,0,-1.00E+00,0,0.00E+00,   Error ,60.003,-2.00E+00,0.00E+00,0.00E+00
45,  2022/02/24,16:00:45,104,236.011,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,236,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.936,0,1.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
46,  2022/02/24,16:00:46,101,236.023,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.001,235.989,0,2.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.952,0,-2.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
47,  2022/02/24,16:00:47,102,236.004,0,-2.00E+00,0.00E+00,0.00E+00,   Error ,60.001,236.009,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,235.937,0,0.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
48,  2022/02/24,16:00:48,104,236.023,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,236,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.949,0,1.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
49,  2022/02/24,16:00:49,101,236.013,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,236.007,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.004,235.955,0,0.00E+00,0,0.00E+00,   Error ,60.002,-1.00E+00,0.00E+00,0.00E+00
50,  2022/02/24,16:00:50,103,236.024,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,236.001,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.956,0,0.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
51,  2022/02/24,16:00:51,107,236.009,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,236.005,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.001,235.947,0,1.00E+00,0,0.00E+00,   Error ,60.002,0.00E+00,0.00E+00,0.00E+00
52,  2022/02/24,16:00:52,103,236.022,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.003,236.005,0,1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.945,0,1.00E+00,0,0.00E+00,   Error ,60.002,2.00E+00,0.00E+00,0.00E+00
53,  2022/02/24,16:00:53,100,236.002,0,-1.00E+00,0.00E+00,0.00E+00,   Error ,60.002,236.004,0,0.00E+00,0.00E+00,0.00E+00,   Error ,60.002,235.934,0,2.00E+00,0,0.00E+00,   Error ,60.002,1.00E+00,0.00E+00,0.00E+00
