Function,Expression,Unit
F01:,"UMN(E1)","V"
F02:,"UMN(E2)","V"
F03:,"UMN(E3)","V"
F04:,"UMN(E4)","V"
F05:,"U(E1,ORT)","V"
F06:,"I(E1,ORT)","A"
F07:,"U(E1,ORT)","V"
F08:,"I(E1,ORT)","A"
F09:,"U(E1,ORT)","V"
F10:,"I(E1,ORT)","A"
F11:,"U(E1,ORT)","V"
F12:,"I(E1,ORT)","A"
F13:,"U(E1,ORT)","V"
F14:,"I(E1,ORT)","A"
F15:,"U(E1,ORT)","V"
F16:,"I(E1,ORT)","A"
F17:,"U(E1,ORT)","V"
F18:,"I(E1,ORT)","A"
F19:,"U(E1,ORT)","V"
F20:,"I(E1,ORT)","A"
"Store No.","Date","Time","Millisecond","U-1-Total","I-1-Total","P-1-Total","S-1-Total","Q-1-Total","PF-1-Total","FreqU-1-Total","U-2-Total","I-2-Total","P-2-Total","S-2-Total","Q-2-Total","PF-2-Total","FreqU-2-Total","Q-2-Total","S-2-Total","FreqU-2-Total","FreqI-2-Total","PF-2-Total","U-2-1","I-2-1","P-2-1","U-3-Total","I-3-Total"
1,  2022/05/06,13:09:34,525,  120.304 ,   20.457 ,  2.4596E+03,  2.4598E+03, -0.0340E+03,  0.99990 ,   60.001 ,  120.378 ,   20.318 ,  2.4442E+03,  2.4445E+03, -0.0408E+03,  0.99986 ,   59.998 , -0.0408E+03,  2.4445E+03,   59.998 ,   60.000 ,  0.99986 ,  120.377 ,   20.309 ,  2.4444E+03,    1.920 ,    0.115 
2,  2022/05/06,13:09:35, 31,  120.314 ,   20.438 ,  2.4575E+03,  2.4577E+03, -0.0327E+03,  0.99991 ,   60.003 ,  120.368 ,   20.320 ,  2.4442E+03,  2.4445E+03, -0.0395E+03,  0.99987 ,   60.002 , -0.0395E+03,  2.4445E+03,   60.002 ,   60.004 ,  0.99987 ,  120.367 ,   20.311 ,  2.4445E+03,    1.913 ,    0.120 
3,  2022/05/06,13:09:35,542,  120.319 ,   20.441 ,  2.4580E+03,  2.4582E+03, -0.0323E+03,  0.99991 ,   60.002 ,  120.368 ,   20.334 ,  2.4459E+03,  2.4463E+03, -0.0422E+03,  0.99985 ,   60.002 , -0.0422E+03,  2.4463E+03,   60.002 ,   60.013 ,  0.99985 ,  120.366 ,   20.326 ,  2.4462E+03,    1.904 ,    0.121 
4,  2022/05/06,13:09:36, 32,  120.310 ,   20.442 ,  2.4580E+03,  2.4582E+03, -0.0322E+03,  0.99991 ,   60.003 ,  120.367 ,   20.331 ,  2.4455E+03,  2.4459E+03, -0.0408E+03,  0.99986 ,   60.000 , -0.0408E+03,  2.4459E+03,   60.000 ,   60.012 ,  0.99986 ,  120.366 ,   20.323 ,  2.4458E+03,    1.897 ,    0.118 
5,  2022/05/06,13:09:36,532,  120.315 ,   20.452 ,  2.4593E+03,  2.4595E+03, -0.0316E+03,  0.99992 ,   60.002 ,  120.368 ,   20.318 ,  2.4439E+03,  2.4443E+03, -0.0428E+03,  0.99985 ,   60.003 , -0.0428E+03,  2.4443E+03,   60.003 ,   60.001 ,  0.99985 ,  120.367 ,   20.309 ,  2.4442E+03,    1.889 ,    0.111 
6,  2022/05/06,13:09:37, 30,  120.309 ,   20.437 ,  2.4573E+03,  2.4575E+03, -0.0327E+03,  0.99991 ,   60.002 ,  120.367 ,   20.304 ,  2.4423E+03,  2.4427E+03, -0.0421E+03,  0.99985 ,   60.000 , -0.0421E+03,  2.4427E+03,   60.000 ,   60.005 ,  0.99985 ,  120.365 ,   20.296 ,  2.4426E+03,    1.882 ,    0.114 
7,  2022/05/06,13:09:37,534,  120.307 ,   20.461 ,  2.4601E+03,  2.4603E+03, -0.0328E+03,  0.99991 ,   60.002 ,  120.360 ,   20.324 ,  2.4446E+03,  2.4449E+03, -0.0413E+03,  0.99986 ,   60.003 , -0.0413E+03,  2.4449E+03,   60.003 ,   60.000 ,  0.99986 ,  120.359 ,   20.316 ,  2.4449E+03,    1.874 ,    0.133 
8,  2022/05/06,13:09:38, 31,  120.311 ,   20.450 ,  2.4589E+03,  2.4591E+03, -0.0317E+03,  0.99992 ,   60.001 ,  120.362 ,   20.334 ,  2.4458E+03,  2.4461E+03, -0.0412E+03,  0.99986 ,   60.001 , -0.0412E+03,  2.4461E+03,   60.001 ,   60.000 ,  0.99986 ,  120.360 ,   20.325 ,  2.4460E+03,    1.865 ,    0.119 
9,  2022/05/06,13:09:38,533,  120.313 ,   20.448 ,  2.4588E+03,  2.4590E+03, -0.0315E+03,  0.99992 ,   60.001 ,  120.368 ,   20.331 ,  2.4457E+03,  2.4460E+03, -0.0421E+03,  0.99985 ,   60.001 , -0.0421E+03,  2.4460E+03,   60.001 ,   60.004 ,  0.99985 ,  120.367 ,   20.324 ,  2.4459E+03,    1.859 ,    0.129 
10,  2022/05/06,13:09:39, 32,  120.307 ,   20.452 ,  2.4590E+03,  2.4592E+03, -0.0319E+03,  0.99992 ,   60.003 ,  120.364 ,   20.331 ,  2.4455E+03,  2.4459E+03, -0.0424E+03,  0.99985 ,   60.002 , -0.0424E+03,  2.4459E+03,   60.002 ,   60.001 ,  0.99985 ,  120.363 ,   20.323 ,  2.4458E+03,    1.849 ,    0.112 
