Function,Expression,Unit
F01:,"UMN(E1)","V"
F02:,"UMN(E2)","V"
F03:,"UMN(E3)","V"
F04:,"UMN(E4)","V"
F05:,"U(E1,ORT)","V"
F06:,"I(E1,ORT)","A"
F07:,"U(E1,ORT)","V"
F08:,"I(E1,ORT)","A"
F09:,"U(E1,ORT)","V"
F10:,"I(E1,ORT)","A"
F11:,"U(E1,ORT)","V"
F12:,"I(E1,ORT)","A"
F13:,"U(E1,ORT)","V"
F14:,"I(E1,ORT)","A"
F15:,"U(E1,ORT)","V"
F16:,"I(E1,ORT)","A"
F17:,"U(E1,ORT)","V"
F18:,"I(E1,ORT)","A"
F19:,"U(E1,ORT)","V"
F20:,"I(E1,ORT)","A"
"Store No.","Date","Time","Millisecond","U-1-Total","I-1-Total","P-1-Total","S-1-Total","Q-1-Total","PF-1-Total","Phi-1-Total","FreqU-1-Total","FreqI-1-Total","Uppeak-1-Total","Umpeak-1-Total","Ippeak-1-Total","Impeak-1-Total","CfU-1-Total","CfI-1-Total","U-2-Total","I-2-Total","P-2-Total","S-2-Total","Q-2-Total","PF-2-Total","Phi-2-Total","FreqU-2-Total","FreqI-2-Total"
1,  2022/04/15,14:18:15,180,  120.230 ,    4.033 ,  0.4846E+03,  0.4849E+03, -0.0151E+03,  0.99951 ,   -1.788 ,   60.002 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.163 ,    3.989 ,  0.4789E+03,  0.4793E+03, -0.0197E+03,  0.99916 ,   -2.354 ,   60.001 ,   Error 
2,  2022/04/15,14:18:15,688,  120.196 ,    4.054 ,  0.4870E+03,  0.4872E+03, -0.0154E+03,  0.99950 ,   -1.812 ,   60.001 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.199 ,    3.979 ,  0.4778E+03,  0.4782E+03, -0.0199E+03,  0.99913 ,   -2.387 ,   60.001 ,   Error 
3,  2022/04/15,14:18:16,189,  120.235 ,    4.047 ,  0.4863E+03,  0.4866E+03, -0.0169E+03,  0.99940 ,   -1.986 ,   60.002 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.214 ,    3.985 ,  0.4786E+03,  0.4790E+03, -0.0199E+03,  0.99914 ,   -2.376 ,   60.002 ,   Error 
4,  2022/04/15,14:18:16,688,  120.212 ,    4.035 ,  0.4848E+03,  0.4851E+03, -0.0159E+03,  0.99946 ,   -1.877 ,   60.000 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.171 ,    3.974 ,  0.4771E+03,  0.4775E+03, -0.0198E+03,  0.99914 ,   -2.372 ,   60.001 ,   Error 
5,  2022/04/15,14:18:17,188,  120.244 ,    4.043 ,  0.4859E+03,  0.4862E+03, -0.0164E+03,  0.99943 ,   -1.938 ,   60.002 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.175 ,    3.973 ,  0.4769E+03,  0.4774E+03, -0.0219E+03,  0.99894 ,   -2.633 ,   60.001 ,   Error 
6,  2022/04/15,14:18:17,688,  120.216 ,    4.046 ,  0.4862E+03,  0.4864E+03, -0.0145E+03,  0.99956 ,   -1.705 ,   60.001 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.157 ,    3.988 ,  0.4787E+03,  0.4792E+03, -0.0200E+03,  0.99913 ,   -2.393 ,   60.002 ,   Error 
7,  2022/04/15,14:18:18,188,  120.237 ,    4.048 ,  0.4865E+03,  0.4867E+03, -0.0155E+03,  0.99949 ,   -1.822 ,   60.001 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.222 ,    3.996 ,  0.4800E+03,  0.4804E+03, -0.0201E+03,  0.99912 ,   -2.401 ,   60.001 ,   Error 
8,  2022/04/15,14:18:18,688,  120.227 ,    4.058 ,  0.4877E+03,  0.4879E+03, -0.0160E+03,  0.99946 ,   -1.881 ,   60.000 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.175 ,    3.961 ,  0.4756E+03,  0.4760E+03, -0.0192E+03,  0.99919 ,   -2.313 ,   60.002 ,   Error 
9,  2022/04/15,14:18:19,188,  120.207 ,    4.055 ,  0.4871E+03,  0.4874E+03, -0.0168E+03,  0.99941 ,   -1.972 ,   60.001 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.154 ,    3.974 ,  0.4771E+03,  0.4775E+03, -0.0186E+03,  0.99924 ,   -2.235 ,   60.002 ,   Error 
10,  2022/04/15,14:18:19,690,  120.217 ,    4.059 ,  0.4876E+03,  0.4879E+03, -0.0161E+03,  0.99945 ,   -1.892 ,   60.002 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.240 ,    3.976 ,  0.4775E+03,  0.4780E+03, -0.0213E+03,  0.99900 ,   -2.558 ,   60.002 ,   Error 
11,  2022/04/15,14:18:20,189,  120.231 ,    4.043 ,  0.4859E+03,  0.4862E+03, -0.0153E+03,  0.99950 ,   -1.803 ,   60.000 ,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,  120.223 ,    3.975 ,  0.4774E+03,  0.4779E+03, -0.0199E+03,  0.99913 ,   -2.389 ,   60.000 ,   Error 
