Function,Expression,Unit,,,,,,,,,,,,,,,,,,,,,,,,,
F01:,UMN(E1),V,,,,,,,,,,,,,,,,,,,,,,,,,
F02:,UMN(E2),V,,,,,,,,,,,,,,,,,,,,,,,,,
F03:,UMN(E3),V,,,,,,,,,,,,,,,,,,,,,,,,,
F04:,UMN(E4),V,,,,,,,,,,,,,,,,,,,,,,,,,
F05:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F06:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F07:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F08:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F09:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F10:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F11:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F12:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F13:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F14:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F15:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F16:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F17:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F18:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F19:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F20:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
Store No.,Date,Time,Millisecond,U-1-Total,I-1-Total,P-1-Total,S-1-Total,Q-1-Total,PF-1-Total,Phi-1-Total,FreqU-1-Total,FreqI-1-Total,Uppeak-1-Total,Umpeak-1-Total,Ippeak-1-Total,Impeak-1-Total,CfU-1-Total,CfI-1-Total,U-2-Total,I-2-Total,P-2-Total,S-2-Total,Q-2-Total,PF-2-Total,Phi-2-Total,FreqU-2-Total,FreqI-2-Total
1,  2022/04/15,14:18:15,180.00,120.23,4.03,484.60,484.90,-15.10,1.00,-1.79,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.16,3.99,478.90,479.30,-19.70,1.00,-2.35,60.00,   Error 
2,  2022/04/15,14:18:15,688.00,120.20,4.05,487.00,487.20,-15.40,1.00,-1.81,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.20,3.98,477.80,478.20,-19.90,1.00,-2.39,60.00,   Error 
3,  2022/04/15,14:18:16,189.00,120.24,4.05,486.30,486.60,-16.90,1.00,-1.99,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.21,3.99,478.60,479.00,-19.90,1.00,-2.38,60.00,   Error 
4,  2022/04/15,14:18:16,688.00,120.21,4.04,484.80,485.10,-15.90,1.00,-1.88,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.17,3.97,477.10,477.50,-19.80,1.00,-2.37,60.00,   Error 
5,  2022/04/15,14:18:17,188.00,120.24,4.04,485.90,486.20,-16.40,1.00,-1.94,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.18,3.97,476.90,477.40,-21.90,1.00,-2.63,60.00,   Error 
6,  2022/04/15,14:18:17,688.00,120.22,4.05,486.20,486.40,-14.50,1.00,-1.71,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.16,3.99,478.70,479.20,-20.00,1.00,-2.39,60.00,   Error 
7,  2022/04/15,14:18:18,188.00,120.24,4.05,486.50,486.70,-15.50,1.00,-1.82,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.22,4.00,480.00,480.40,-20.10,1.00,-2.40,60.00,   Error 
8,  2022/04/15,14:18:18,688.00,120.23,4.06,487.70,487.90,-16.00,1.00,-1.88,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.18,3.96,475.60,476.00,-19.20,1.00,-2.31,60.00,   Error 
9,  2022/04/15,14:18:19,188.00,120.21,4.06,487.10,487.40,-16.80,1.00,-1.97,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.15,3.97,477.10,477.50,-18.60,1.00,-2.24,60.00,   Error 
10,  2022/04/15,14:18:19,690.00,120.22,4.06,487.60,487.90,-16.10,1.00,-1.89,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.24,3.98,477.50,478.00,-21.30,1.00,-2.56,60.00,   Error 
11,  2022/04/15,14:18:20,189.00,120.23,4.04,485.90,486.20,-15.30,1.00,-1.80,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.22,3.98,477.40,477.90,-19.90,1.00,-2.39,60.00,   Error 
12,  2022/04/15,14:18:20,688.00,120.23,4.05,486.60,486.90,-15.30,1.00,-1.80,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.14,3.98,477.60,478.00,-20.00,1.00,-2.40,60.00,   Error 
13,  2022/04/15,14:18:21,188.00,120.21,4.05,486.50,486.80,-17.10,1.00,-2.01,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.21,3.98,478.40,478.80,-19.40,1.00,-2.33,60.00,   Error 
14,  2022/04/15,14:18:21,689.00,120.22,4.04,484.80,485.20,-17.30,1.00,-2.05,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.17,3.97,477.10,477.60,-20.80,1.00,-2.50,60.00,   Error 
15,  2022/04/15,14:18:22,189.00,120.24,4.04,485.60,485.90,-17.40,1.00,-2.05,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.18,3.98,477.40,477.90,-20.40,1.00,-2.45,60.00,   Error 
16,  2022/04/15,14:18:22,689.00,120.23,4.04,485.90,486.20,-15.80,1.00,-1.86,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.22,3.98,477.90,478.40,-21.00,1.00,-2.52,60.00,   Error 
17,  2022/04/15,14:18:23,189.00,120.25,4.04,485.90,486.20,-17.00,1.00,-2.01,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.15,3.98,478.00,478.40,-21.40,1.00,-2.57,60.00,   Error 
18,  2022/04/15,14:18:23,689.00,120.20,4.05,487.00,487.30,-15.40,1.00,-1.82,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.20,3.97,476.30,476.80,-20.70,1.00,-2.49,60.00,   Error 
19,  2022/04/15,14:18:24,190.00,120.21,4.04,485.20,485.50,-16.70,1.00,-1.97,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.24,3.98,478.60,479.00,-20.40,1.00,-2.45,60.00,   Error 
20,  2022/04/15,14:18:24,688.00,120.22,4.04,485.80,486.10,-15.90,1.00,-1.87,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.23,3.98,478.40,478.80,-21.00,1.00,-2.51,60.00,   Error 
21,  2022/04/15,14:18:25,189.00,120.22,4.04,484.80,485.00,-16.10,1.00,-1.91,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.17,3.97,476.80,477.30,-20.80,1.00,-2.50,60.00,   Error 
22,  2022/04/15,14:18:25,689.00,120.21,4.05,485.90,486.20,-16.80,1.00,-1.98,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.20,3.96,476.00,476.50,-20.00,1.00,-2.41,60.00,   Error 
23,  2022/04/15,14:18:26,189.00,120.22,4.05,487.00,487.30,-16.20,1.00,-1.90,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.22,3.98,477.80,478.30,-22.70,1.00,-2.72,60.00,   Error 
24,  2022/04/15,14:18:26,690.00,120.21,4.04,485.20,485.50,-17.00,1.00,-2.01,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.15,3.99,478.60,479.10,-21.70,1.00,-2.60,60.00,   Error 
25,  2022/04/15,14:18:27,189.00,120.22,4.05,487.00,487.30,-17.20,1.00,-2.02,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.21,3.99,479.50,479.90,-19.90,1.00,-2.37,60.00,   Error 
26,  2022/04/15,14:18:27,687.00,120.24,4.06,487.70,488.00,-19.00,1.00,-2.24,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.15,3.97,476.10,476.50,-19.00,1.00,-2.29,60.00,   Error 
27,  2022/04/15,14:18:28,190.00,120.20,4.05,486.20,486.50,-15.90,1.00,-1.88,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.18,3.98,477.50,477.90,-21.40,1.00,-2.57,60.00,   Error 
28,  2022/04/15,14:18:28,690.00,120.21,4.05,487.00,487.30,-16.10,1.00,-1.90,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.23,3.98,478.10,478.60,-20.60,1.00,-2.46,60.00,   Error 
29,  2022/04/15,14:18:29,191.00,120.23,4.03,484.70,484.90,-16.10,1.00,-1.90,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.19,3.98,477.90,478.40,-21.70,1.00,-2.60,60.00,   Error 
30,  2022/04/15,14:18:29,690.00,120.24,4.05,486.70,487.00,-16.60,1.00,-1.95,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.17,3.99,478.60,479.00,-20.80,1.00,-2.49,60.00,   Error 
31,  2022/04/15,14:18:30,189.00,120.23,4.05,486.40,486.70,-16.40,1.00,-1.93,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.22,3.98,477.60,478.10,-21.70,1.00,-2.61,60.00,   Error 
32,  2022/04/15,14:18:30,689.00,120.23,4.03,484.70,484.90,-15.00,1.00,-1.78,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.21,3.99,478.60,479.10,-22.60,1.00,-2.71,60.00,   Error 
33,  2022/04/15,14:18:31,189.00,120.21,4.04,485.30,485.50,-15.20,1.00,-1.80,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.20,3.97,477.10,477.50,-19.20,1.00,-2.30,60.00,   Error 
34,  2022/04/15,14:18:31,691.00,120.25,4.05,487.10,487.40,-17.60,1.00,-2.07,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.19,3.98,478.40,478.80,-19.70,1.00,-2.36,60.00,   Error 
35,  2022/04/15,14:18:32,189.00,120.21,4.04,485.30,485.50,-14.80,1.00,-1.74,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.18,3.97,476.20,476.70,-20.80,1.00,-2.50,60.00,   Error 
36,  2022/04/15,14:18:32,688.00,120.23,4.05,486.80,487.10,-16.50,1.00,-1.94,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.21,3.98,477.80,478.20,-20.80,1.00,-2.49,60.00,   Error 
37,  2022/04/15,14:18:33,190.00,120.22,4.04,485.60,485.80,-15.90,1.00,-1.88,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.15,3.97,476.90,477.40,-20.70,1.00,-2.48,60.00,   Error 
38,  2022/04/15,14:18:33,687.00,120.20,4.04,485.40,485.80,-17.90,1.00,-2.11,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.22,3.98,477.80,478.10,-18.70,1.00,-2.25,60.00,   Error 
39,  2022/04/15,14:18:34,188.00,120.24,4.03,484.10,484.40,-17.50,1.00,-2.08,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.21,3.98,477.30,477.80,-20.80,1.00,-2.49,60.00,   Error 
40,  2022/04/15,14:18:34,688.00,120.23,4.04,485.90,486.10,-16.40,1.00,-1.93,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.18,3.98,478.00,478.40,-20.10,1.00,-2.41,60.00,   Error 
41,  2022/04/15,14:18:35,189.00,120.22,4.05,487.00,487.20,-15.70,1.00,-1.85,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.23,3.97,476.80,477.30,-20.90,1.00,-2.51,60.00,   Error 
42,  2022/04/15,14:18:35,688.00,120.24,4.04,484.90,485.20,-16.60,1.00,-1.96,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.20,3.98,477.80,478.20,-18.30,1.00,-2.20,60.00,   Error 
43,  2022/04/15,14:18:36,189.00,120.24,4.04,485.20,485.40,-14.50,1.00,-1.71,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.20,3.98,477.50,477.90,-20.20,1.00,-2.42,60.00,   Error 
44,  2022/04/15,14:18:36,689.00,120.22,4.06,487.40,487.70,-17.60,1.00,-2.07,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.17,3.99,478.70,479.20,-20.70,1.00,-2.48,60.00,   Error 
45,  2022/04/15,14:18:37,190.00,120.19,4.04,484.70,485.00,-17.60,1.00,-2.08,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.18,3.97,477.10,477.50,-19.90,1.00,-2.38,60.00,   Error 
46,  2022/04/15,14:18:37,688.00,120.23,4.04,485.60,485.90,-17.50,1.00,-2.07,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.18,3.99,479.50,479.90,-19.40,1.00,-2.32,60.00,   Error 
47,  2022/04/15,14:18:38,190.00,120.22,4.06,487.60,487.90,-16.50,1.00,-1.94,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.15,3.97,476.90,477.40,-21.60,1.00,-2.59,60.00,   Error 
48,  2022/04/15,14:18:38,688.00,120.23,4.03,484.40,484.70,-14.90,1.00,-1.76,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.20,3.99,478.60,479.00,-20.30,1.00,-2.43,60.00,   Error 
49,  2022/04/15,14:18:39,189.00,120.23,4.03,483.80,484.10,-16.10,1.00,-1.91,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.23,3.97,477.40,477.80,-19.70,1.00,-2.36,60.00,   Error 
50,  2022/04/15,14:18:39,688.00,120.20,4.04,485.40,485.70,-17.30,1.00,-2.05,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.18,3.99,478.80,479.20,-20.40,1.00,-2.44,60.00,   Error 
51,  2022/04/15,14:18:40,188.00,120.22,4.04,485.90,486.20,-16.20,1.00,-1.91,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.17,3.98,478.20,478.70,-21.00,1.00,-2.52,60.00,   Error 
52,  2022/04/15,14:18:40,688.00,120.23,4.06,487.40,487.60,-15.90,1.00,-1.87,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.21,3.97,476.50,477.00,-21.10,1.00,-2.53,60.00,   Error 
53,  2022/04/15,14:18:41,188.00,120.22,4.05,486.00,486.30,-16.20,1.00,-1.91,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.17,3.98,478.40,478.80,-19.80,1.00,-2.37,60.00,   Error 
54,  2022/04/15,14:18:41,688.00,120.43,4.02,484.40,484.70,-16.30,1.00,-1.93,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.46,3.97,478.00,478.40,-20.10,1.00,-2.41,60.00,   Error 
55,  2022/04/15,14:18:42,188.00,120.82,4.03,486.10,486.30,-15.30,1.00,-1.80,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.78,3.96,478.10,478.50,-19.00,1.00,-2.28,60.00,   Error 
56,  2022/04/15,14:18:42,688.00,120.80,4.03,486.80,487.00,-16.60,1.00,-1.96,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.82,3.95,476.60,477.00,-20.50,1.00,-2.47,60.00,   Error 
57,  2022/04/15,14:18:43,188.00,120.83,4.02,485.80,486.10,-17.20,1.00,-2.02,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.79,3.95,476.40,476.90,-21.10,1.00,-2.53,60.00,   Error 
58,  2022/04/15,14:18:43,688.00,120.80,4.03,486.20,486.50,-17.00,1.00,-2.01,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.78,3.94,475.90,476.30,-21.00,1.00,-2.53,60.00,   Error 
59,  2022/04/15,14:18:44,188.00,120.79,4.04,487.40,487.80,-17.50,1.00,-2.06,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.77,3.94,475.90,476.40,-21.40,1.00,-2.57,60.00,   Error 
60,  2022/04/15,14:18:44,689.00,120.83,4.03,487.00,487.30,-17.20,1.00,-2.02,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.83,3.95,476.30,476.70,-19.70,1.00,-2.37,60.00,   Error 
61,  2022/04/15,14:18:45,190.00,120.83,4.02,485.80,486.00,-16.40,1.00,-1.94,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.79,3.95,476.20,476.70,-21.90,1.00,-2.63,60.00,   Error 
62,  2022/04/15,14:18:45,689.00,120.82,4.02,485.20,485.40,-14.60,1.00,-1.72,60.00,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.74,3.96,477.20,477.70,-21.90,1.00,-2.63,60.00,   Error 
