Function,Expression,Unit
F01:,"UMN(E1)","V"
F02:,"UMN(E2)","V"
F03:,"UMN(E3)","V"
F04:,"UMN(E4)","V"
F05:,"U(E1,ORT)","V"
F06:,"I(E1,ORT)","A"
F07:,"U(E1,ORT)","V"
F08:,"I(E1,ORT)","A"
F09:,"U(E1,ORT)","V"
F10:,"I(E1,ORT)","A"
F11:,"U(E1,ORT)","V"
F12:,"I(E1,ORT)","A"
F13:,"U(E1,ORT)","V"
F14:,"I(E1,ORT)","A"
F15:,"U(E1,ORT)","V"
F16:,"I(E1,ORT)","A"
F17:,"U(E1,ORT)","V"
F18:,"I(E1,ORT)","A"
F19:,"U(E1,ORT)","V"
F20:,"I(E1,ORT)","A"
"Store No.","Date","Time","Millisecond","U-1-Total","I-1-Total","P-1-Total","Q-1-Total","S-1-Total","Q-SigmaA-Total","FreqI-1-Total","PF-1-Total","U-SigmaA-1","Q-SigmaA-1","P-SigmaA-1","U-2-Total","I-2-Total","P-2-Total","Q-2-Total","S-2-Total","FreqU-2-Total","FreqI-2-Total","PF-2-Total","U-2-1","I-2-1","P-2-1","U-3-Total","I-3-Total"
1,  2022/08/12,16:32:03,488,  120.259 ,   21.694 ,  2.4716E+03,  0.8338E+03,  2.6084E+03,  1.6565E+03,   60.004 ,  0.94753 ,  120.290 ,  1.6565E+03,  4.9306E+03,  120.327 ,   21.553 ,  2.4588E+03,  0.8227E+03,  2.5928E+03,   59.999 ,   60.004 ,  0.94832 ,  120.326 ,   21.549 ,  2.4589E+03,  120.288 ,    0.121 
2,  2022/08/12,16:32:03,997,  120.256 ,   21.705 ,  2.4728E+03,  0.8338E+03,  2.6096E+03,  1.6578E+03,   59.995 ,  0.94758 ,  120.289 ,  1.6578E+03,  4.9344E+03,  120.328 ,   21.576 ,  2.4613E+03,  0.8240E+03,  2.5956E+03,   59.998 ,   59.995 ,  0.94827 ,  120.327 ,   21.572 ,  2.4615E+03,  120.285 ,    0.133 
3,  2022/08/12,16:32:04,498,  120.263 ,   21.699 ,  2.4714E+03,  0.8365E+03,  2.6091E+03,  1.6612E+03,   60.000 ,  0.94721 ,  120.292 ,  1.6612E+03,  4.9313E+03,  120.322 ,   21.566 ,  2.4597E+03,  0.8248E+03,  2.5943E+03,   60.002 ,   59.991 ,  0.94812 ,  120.321 ,   21.562 ,  2.4598E+03,  120.293 ,    0.112 
4,  2022/08/12,16:32:04,995,  120.250 ,   21.688 ,  2.4709E+03,  0.8330E+03,  2.6075E+03,  1.6531E+03,   59.999 ,  0.94760 ,  120.290 ,  1.6531E+03,  4.9320E+03,  120.342 ,   21.560 ,  2.4609E+03,  0.8201E+03,  2.5939E+03,   60.002 ,   59.999 ,  0.94871 ,  120.341 ,   21.556 ,  2.4610E+03,  120.279 ,    0.119 
5,  2022/08/12,16:32:05,498,  120.261 ,   21.707 ,  2.4720E+03,  0.8373E+03,  2.6100E+03,  1.6617E+03,   59.996 ,  0.94714 ,  120.289 ,  1.6617E+03,  4.9342E+03,  120.318 ,   21.584 ,  2.4620E+03,  0.8243E+03,  2.5963E+03,   59.996 ,   59.996 ,  0.94826 ,  120.318 ,   21.580 ,  2.4621E+03,  120.290 ,    0.117 
6,  2022/08/12,16:32:05,997,  120.254 ,   21.709 ,  2.4717E+03,  0.8385E+03,  2.6101E+03,  1.6659E+03,   59.999 ,  0.94699 ,  120.289 ,  1.6659E+03,  4.9332E+03,  120.332 ,   21.584 ,  2.4613E+03,  0.8274E+03,  2.5967E+03,   60.001 ,   59.991 ,  0.94787 ,  120.332 ,   21.580 ,  2.4614E+03,  120.282 ,    0.127 
7,  2022/08/12,16:32:06,498,  120.254 ,   21.690 ,  2.4711E+03,  0.8333E+03,  2.6078E+03,  1.6558E+03,   60.004 ,  0.94758 ,  120.286 ,  1.6558E+03,  4.9310E+03,  120.324 ,   21.560 ,  2.4597E+03,  0.8225E+03,  2.5936E+03,   60.000 ,   59.991 ,  0.94838 ,  120.323 ,   21.556 ,  2.4598E+03,  120.283 ,    0.117 
8,  2022/08/12,16:32:06,995,  120.243 ,   21.700 ,  2.4707E+03,  0.8374E+03,  2.6088E+03,  1.6644E+03,   60.000 ,  0.94708 ,  120.283 ,  1.6644E+03,  4.9282E+03,  120.334 ,   21.551 ,  2.4573E+03,  0.8270E+03,  2.5927E+03,   59.998 ,   59.995 ,  0.94776 ,  120.333 ,   21.547 ,  2.4574E+03,  120.273 ,    0.119 
9,  2022/08/12,16:32:07,500,  120.261 ,   21.696 ,  2.4707E+03,  0.8370E+03,  2.6087E+03,  1.6629E+03,   59.995 ,  0.94712 ,  120.293 ,  1.6629E+03,  4.9296E+03,  120.327 ,   21.560 ,  2.4586E+03,  0.8259E+03,  2.5936E+03,   60.002 ,   59.991 ,  0.94795 ,  120.326 ,   21.556 ,  2.4587E+03,  120.292 ,    0.123 
10,  2022/08/12,16:32:07,997,  120.251 ,   21.710 ,  2.4725E+03,  0.8366E+03,  2.6101E+03,  1.6628E+03,   60.004 ,  0.94725 ,  120.289 ,  1.6628E+03,  4.9329E+03,  120.338 ,   21.571 ,  2.4602E+03,  0.8262E+03,  2.5952E+03,   60.002 ,   59.995 ,  0.94797 ,  120.337 ,   21.567 ,  2.4603E+03,  120.280 ,    0.119 
11,  2022/08/12,16:32:08,496,  120.268 ,   21.686 ,  2.4693E+03,  0.8377E+03,  2.6075E+03,  1.6642E+03,   59.995 ,  0.94699 ,  120.301 ,  1.6642E+03,  4.9292E+03,  120.340 ,   21.567 ,  2.4597E+03,  0.8265E+03,  2.5948E+03,   60.002 ,   59.995 ,  0.94792 ,  120.339 ,   21.563 ,  2.4598E+03,  120.298 ,    0.128 
12,  2022/08/12,16:32:08,998,  120.254 ,   21.696 ,  2.4720E+03,  0.8330E+03,  2.6085E+03,  1.6550E+03,   59.997 ,  0.94764 ,  120.287 ,  1.6550E+03,  4.9316E+03,  120.327 ,   21.556 ,  2.4594E+03,  0.8220E+03,  2.5931E+03,   60.003 ,   60.003 ,  0.94843 ,  120.327 ,   21.552 ,  2.4595E+03,  120.284 ,    0.122 
13,  2022/08/12,16:32:09,497,  120.260 ,   21.703 ,  2.4732E+03,  0.8325E+03,  2.6095E+03,  1.6539E+03,   59.995 ,  0.94774 ,  120.293 ,  1.6539E+03,  4.9336E+03,  120.330 ,   21.560 ,  2.4602E+03,  0.8213E+03,  2.5937E+03,   59.999 ,   59.995 ,  0.94854 ,  120.330 ,   21.556 ,  2.4604E+03,  120.290 ,    0.127 
14,  2022/08/12,16:32:10,  0,  120.254 ,   21.676 ,  2.4695E+03,  0.8328E+03,  2.6062E+03,  1.6510E+03,   59.995 ,  0.94757 ,  120.285 ,  1.6510E+03,  4.9270E+03,  120.320 ,   21.530 ,  2.4572E+03,  0.8182E+03,  2.5899E+03,   60.001 ,   59.991 ,  0.94879 ,  120.319 ,   21.526 ,  2.4573E+03,  120.284 ,    0.123 
15,  2022/08/12,16:32:10,497,  120.258 ,   21.703 ,  2.4716E+03,  0.8369E+03,  2.6094E+03,  1.6630E+03,   60.000 ,  0.94718 ,  120.293 ,  1.6630E+03,  4.9319E+03,  120.335 ,   21.571 ,  2.4601E+03,  0.8261E+03,  2.5951E+03,   60.000 ,   59.996 ,  0.94798 ,  120.334 ,   21.567 ,  2.4602E+03,  120.287 ,    0.117 
16,  2022/08/12,16:32:10,999,  120.253 ,   21.712 ,  2.4721E+03,  0.8386E+03,  2.6105E+03,  1.6649E+03,   59.995 ,  0.94700 ,  120.284 ,  1.6649E+03,  4.9329E+03,  120.318 ,   21.577 ,  2.4605E+03,  0.8263E+03,  2.5956E+03,   59.999 ,   59.999 ,  0.94797 ,  120.317 ,   21.574 ,  2.4607E+03,  120.282 ,    0.121 
17,  2022/08/12,16:32:11,496,  120.255 ,   21.695 ,  2.4718E+03,  0.8333E+03,  2.6085E+03,  1.6541E+03,   59.995 ,  0.94760 ,  120.291 ,  1.6541E+03,  4.9321E+03,  120.336 ,   21.556 ,  2.4601E+03,  0.8209E+03,  2.5934E+03,   60.000 ,   59.992 ,  0.94859 ,  120.335 ,   21.553 ,  2.4602E+03,  120.285 ,    0.129 
18,  2022/08/12,16:32:12,  4,  120.257 ,   21.666 ,  2.4680E+03,  0.8334E+03,  2.6049E+03,  1.6536E+03,   59.996 ,  0.94744 ,  120.287 ,  1.6536E+03,  4.9263E+03,  120.318 ,   21.542 ,  2.4581E+03,  0.8202E+03,  2.5913E+03,   60.001 ,   59.991 ,  0.94859 ,  120.317 ,   21.538 ,  2.4582E+03,  120.287 ,    0.128 
19,  2022/08/12,16:32:12,500,  120.253 ,   21.696 ,  2.4701E+03,  0.8382E+03,  2.6084E+03,  1.6645E+03,   60.003 ,  0.94696 ,  120.290 ,  1.6645E+03,  4.9302E+03,  120.339 ,   21.569 ,  2.4599E+03,  0.8263E+03,  2.5950E+03,   60.004 ,   59.995 ,  0.94795 ,  120.338 ,   21.565 ,  2.4600E+03,  120.282 ,    0.116 
20,  2022/08/12,16:32:12,998,  120.261 ,   21.702 ,  2.4731E+03,  0.8326E+03,  2.6095E+03,  1.6539E+03,   59.996 ,  0.94773 ,  120.291 ,  1.6539E+03,  4.9346E+03,  120.325 ,   21.569 ,  2.4613E+03,  0.8213E+03,  2.5947E+03,   60.001 ,   59.996 ,  0.94859 ,  120.325 ,   21.566 ,  2.4615E+03,  120.290 ,    0.122 
21,  2022/08/12,16:32:13,495,  120.252 ,   21.689 ,  2.4715E+03,  0.8315E+03,  2.6076E+03,  1.6522E+03,   59.996 ,  0.94780 ,  120.289 ,  1.6522E+03,  4.9316E+03,  120.335 ,   21.555 ,  2.4599E+03,  0.8207E+03,  2.5932E+03,   60.001 ,   59.995 ,  0.94860 ,  120.334 ,   21.551 ,  2.4600E+03,  120.282 ,    0.116 
22,  2022/08/12,16:32:13,997,  120.268 ,   21.695 ,  2.4714E+03,  0.8351E+03,  2.6087E+03,  1.6570E+03,   60.004 ,  0.94738 ,  120.293 ,  1.6570E+03,  4.9324E+03,  120.318 ,   21.567 ,  2.4607E+03,  0.8219E+03,  2.5944E+03,   59.999 ,   60.000 ,  0.94849 ,  120.317 ,   21.564 ,  2.4608E+03,  120.296 ,    0.120 
23,  2022/08/12,16:32:14,495,  120.247 ,   21.724 ,  2.4741E+03,  0.8367E+03,  2.6117E+03,  1.6617E+03,   60.000 ,  0.94730 ,  120.284 ,  1.6617E+03,  4.9361E+03,  120.332 ,   21.582 ,  2.4618E+03,  0.8250E+03,  2.5964E+03,   59.998 ,   59.991 ,  0.94818 ,  120.331 ,   21.578 ,  2.4620E+03,  120.276 ,    0.127 
24,  2022/08/12,16:32:14,998,  120.259 ,   21.691 ,  2.4716E+03,  0.8327E+03,  2.6081E+03,  1.6551E+03,   60.000 ,  0.94767 ,  120.290 ,  1.6551E+03,  4.9324E+03,  120.323 ,   21.567 ,  2.4606E+03,  0.8224E+03,  2.5944E+03,   60.003 ,   59.991 ,  0.94843 ,  120.323 ,   21.563 ,  2.4607E+03,  120.288 ,    0.130 
25,  2022/08/12,16:32:15,497,  120.244 ,   21.688 ,  2.4691E+03,  0.8375E+03,  2.6073E+03,  1.6631E+03,   60.003 ,  0.94701 ,  120.283 ,  1.6631E+03,  4.9277E+03,  120.336 ,   21.555 ,  2.4583E+03,  0.8256E+03,  2.5933E+03,   59.999 ,   59.996 ,  0.94797 ,  120.335 ,   21.551 ,  2.4585E+03,  120.273 ,    0.116 
26,  2022/08/12,16:32:15,997,  120.260 ,   21.692 ,  2.4702E+03,  0.8371E+03,  2.6082E+03,  1.6614E+03,   60.000 ,  0.94710 ,  120.292 ,  1.6614E+03,  4.9309E+03,  120.330 ,   21.569 ,  2.4604E+03,  0.8243E+03,  2.5949E+03,   60.003 ,   59.996 ,  0.94820 ,  120.329 ,   21.566 ,  2.4606E+03,  120.290 ,    0.122 
27,  2022/08/12,16:32:16,495,  120.067 ,   21.699 ,  2.4669E+03,  0.8364E+03,  2.6048E+03,  1.6626E+03,   60.000 ,  0.94704 ,  120.162 ,  1.6626E+03,  4.9280E+03,  120.327 ,   21.578 ,  2.4609E+03,  0.8261E+03,  2.5959E+03,   60.002 ,   59.996 ,  0.94801 ,  120.326 ,   21.575 ,  2.4610E+03,  120.096 ,    0.124 
28,  2022/08/12,16:32:16,996,  120.057 ,   21.735 ,  2.4708E+03,  0.8377E+03,  2.6090E+03,  1.6641E+03,   59.996 ,  0.94705 ,  120.158 ,  1.6641E+03,  4.9326E+03,  120.332 ,   21.583 ,  2.4615E+03,  0.8264E+03,  2.5965E+03,   59.999 ,   59.996 ,  0.94800 ,  120.331 ,   21.579 ,  2.4616E+03,  120.087 ,    0.120 
29,  2022/08/12,16:32:17,495,  120.058 ,   21.753 ,  2.4717E+03,  0.8418E+03,  2.6112E+03,  1.6685E+03,   59.999 ,  0.94661 ,  120.091 ,  1.6685E+03,  4.9306E+03,  120.128 ,   21.597 ,  2.4586E+03,  0.8266E+03,  2.5939E+03,   60.000 ,   59.996 ,  0.94786 ,  120.128 ,   21.594 ,  2.4587E+03,  120.089 ,    0.119 
30,  2022/08/12,16:32:18,  7,  120.059 ,   21.763 ,  2.4726E+03,  0.8432E+03,  2.6124E+03,  1.6759E+03,   59.999 ,  0.94648 ,  120.092 ,  1.6759E+03,  4.9295E+03,  120.131 ,   21.599 ,  2.4567E+03,  0.8328E+03,  2.5941E+03,   59.999 ,   59.996 ,  0.94707 ,  120.130 ,   21.595 ,  2.4569E+03,  120.089 ,    0.123 
31,  2022/08/12,16:32:18,505,  120.058 ,   21.718 ,  2.4674E+03,  0.8412E+03,  2.6069E+03,  1.6724E+03,   59.999 ,  0.94650 ,  120.088 ,  1.6724E+03,  4.9238E+03,  120.122 ,   21.591 ,  2.4562E+03,  0.8312E+03,  2.5930E+03,   60.001 ,   59.996 ,  0.94723 ,  120.121 ,   21.587 ,  2.4563E+03,  120.087 ,    0.129 
32,  2022/08/12,16:32:18,995,  120.061 ,   21.746 ,  2.4704E+03,  0.8430E+03,  2.6103E+03,  1.6716E+03,   59.991 ,  0.94642 ,  120.093 ,  1.6716E+03,  4.9313E+03,  120.130 ,   21.618 ,  2.4606E+03,  0.8286E+03,  2.5964E+03,   60.002 ,   59.995 ,  0.94770 ,  120.129 ,   21.614 ,  2.4607E+03,  120.090 ,    0.124 
33,  2022/08/12,16:32:19,496,  120.057 ,   21.750 ,  2.4705E+03,  0.8441E+03,  2.6107E+03,  1.6740E+03,   59.998 ,  0.94628 ,  120.086 ,  1.6740E+03,  4.9310E+03,  120.120 ,   21.620 ,  2.4603E+03,  0.8298E+03,  2.5965E+03,   60.000 ,   59.996 ,  0.94755 ,  120.119 ,   21.617 ,  2.4604E+03,  120.085 ,    0.119 
34,  2022/08/12,16:32:19,998,  120.055 ,   21.756 ,  2.4719E+03,  0.8422E+03,  2.6114E+03,  1.6725E+03,   60.004 ,  0.94656 ,  120.092 ,  1.6725E+03,  4.9315E+03,  120.138 ,   21.611 ,  2.4594E+03,  0.8303E+03,  2.5958E+03,   60.001 ,   59.996 ,  0.94747 ,  120.137 ,   21.608 ,  2.4595E+03,  120.085 ,    0.126 
