Function,Expression,Unit
F01:,"UMN(E1)","V"
F02:,"UMN(E2)","V"
F03:,"UMN(E3)","V"
F04:,"UMN(E4)","V"
F05:,"U(E1,ORT)","V"
F06:,"I(E1,ORT)","A"
F07:,"U(E1,ORT)","V"
F08:,"I(E1,ORT)","A"
F09:,"U(E1,ORT)","V"
F10:,"I(E1,ORT)","A"
F11:,"U(E1,ORT)","V"
F12:,"I(E1,ORT)","A"
F13:,"U(E1,ORT)","V"
F14:,"I(E1,ORT)","A"
F15:,"U(E1,ORT)","V"
F16:,"I(E1,ORT)","A"
F17:,"U(E1,ORT)","V"
F18:,"I(E1,ORT)","A"
F19:,"U(E1,ORT)","V"
F20:,"I(E1,ORT)","A"
"Store No.","Date","Time","Millisecond","U-1-Total","I-1-Total","P-1-Total","S-1-Total","Q-1-Total","PF-1-Total","U-2-Total","FreqU-1-Total","FreqI-1-Total","Uppeak-1-Total","Umpeak-1-Total","Ippeak-1-Total","Impeak-1-Total","CfU-1-Total","CfI-1-Total","U-2-Total","I-2-Total","P-2-Total","S-2-Total","Q-2-Total","PF-2-Total","Phi-2-Total","FreqU-2-Total","FreqI-2-Total"
1,  2022/04/04,12:02:59,354,  120.640 ,   20.793 ,  2.5053E+03,  2.5056E+03, -0.0412E+03,  0.99986 ,  120.665 ,   60.001 ,   60.004 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.665 ,   20.870 ,  2.5156E+03,  2.5158E+03, -0.0332E+03,  0.99991 ,   -0.757 ,   60.001 ,   59.996 
2,  2022/04/04,12:02:59,854,  120.637 ,   20.760 ,  2.5012E+03,  2.5016E+03, -0.0425E+03,  0.99986 ,  120.674 ,   60.001 ,   60.000 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.674 ,   20.898 ,  2.5191E+03,  2.5193E+03, -0.0332E+03,  0.99991 ,   -0.754 ,   60.002 ,   60.004 
3,  2022/04/04,12:03:00,353,  120.642 ,   20.777 ,  2.5035E+03,  2.5038E+03, -0.0408E+03,  0.99987 ,  120.636 ,   60.001 ,   59.999 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.636 ,   20.867 ,  2.5147E+03,  2.5149E+03, -0.0328E+03,  0.99992 ,   -0.747 ,   60.001 ,   59.999 
4,  2022/04/04,12:03:00,852,  120.634 ,   20.789 ,  2.5047E+03,  2.5051E+03, -0.0418E+03,  0.99986 ,  120.680 ,   60.001 ,   60.003 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.680 ,   20.886 ,  2.5179E+03,  2.5181E+03, -0.0323E+03,  0.99992 ,   -0.736 ,   60.000 ,   59.999 
5,  2022/04/04,12:03:01,353,  120.624 ,   20.806 ,  2.5065E+03,  2.5069E+03, -0.0420E+03,  0.99986 ,  120.711 ,   60.000 ,   60.000 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.711 ,   20.876 ,  2.5173E+03,  2.5175E+03, -0.0348E+03,  0.99990 ,   -0.792 ,   60.002 ,   59.998 
6,  2022/04/04,12:03:01,852,  120.629 ,   20.768 ,  2.5019E+03,  2.5022E+03, -0.0416E+03,  0.99986 ,  120.678 ,   60.001 ,   60.011 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.678 ,   20.878 ,  2.5169E+03,  2.5171E+03, -0.0325E+03,  0.99992 ,   -0.740 ,   60.001 ,   59.999 
7,  2022/04/04,12:03:02,353,  120.641 ,   20.793 ,  2.5053E+03,  2.5056E+03, -0.0430E+03,  0.99985 ,  120.627 ,   60.001 ,   60.000 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.627 ,   20.900 ,  2.5185E+03,  2.5187E+03, -0.0309E+03,  0.99992 ,   -0.703 ,   60.001 ,   60.000 
8,  2022/04/04,12:03:02,852,  120.641 ,   20.798 ,  2.5059E+03,  2.5062E+03, -0.0432E+03,  0.99985 ,  120.634 ,   60.001 ,   60.004 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.634 ,   20.892 ,  2.5176E+03,  2.5178E+03, -0.0326E+03,  0.99992 ,   -0.741 ,   60.001 ,   60.000 
9,  2022/04/04,12:03:03,352,  120.596 ,   20.778 ,  2.5026E+03,  2.5030E+03, -0.0434E+03,  0.99985 ,  120.693 ,   60.001 ,   60.000 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.693 ,   20.882 ,  2.5176E+03,  2.5178E+03, -0.0326E+03,  0.99992 ,   -0.741 ,   60.001 ,   59.999 
10,  2022/04/04,12:03:03,853,  120.665 ,   20.785 ,  2.5048E+03,  2.5051E+03, -0.0413E+03,  0.99986 ,  120.611 ,   60.002 ,   60.004 ,NAN,NAN,NAN,NAN,NAN,NAN,  120.611 ,   20.879 ,  2.5156E+03,  2.5158E+03, -0.0341E+03,  0.99991 ,   -0.777 ,   60.002 ,   59.999 
