Function,Expression,Unit,,,,,,,,,,,,,,,,,,,,,,,,,
F01:,UMN(E1),V,,,,,,,,,,,,,,,,,,,,,,,,,
F02:,UMN(E2),V,,,,,,,,,,,,,,,,,,,,,,,,,
F03:,UMN(E3),V,,,,,,,,,,,,,,,,,,,,,,,,,
F04:,UMN(E4),V,,,,,,,,,,,,,,,,,,,,,,,,,
F05:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F06:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F07:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F08:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F09:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F10:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F11:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F12:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F13:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F14:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F15:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F16:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F17:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F18:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
F19:,"U(E1,ORT)",V,,,,,,,,,,,,,,,,,,,,,,,,,
F20:,"I(E1,ORT)",A,,,,,,,,,,,,,,,,,,,,,,,,,
Store No.,Date,Time,Millisecond,U-1-Total,I-1-Total,P-1-Total,S-1-Total,Q-1-Total,PF-1-Total,Phi-1-Total,FreqU-1-Total,FreqI-1-Total,Uppeak-1-Total,Umpeak-1-Total,Ippeak-1-Total,Impeak-1-Total,CfU-1-Total,CfI-1-Total,U-2-Total,I-2-Total,P-2-Total,S-2-Total,Q-2-Total,PF-2-Total,Phi-2-Total,FreqU-2-Total,FreqI-2-Total
1,  2022/04/28,10:21:35,644,120.086,0.413,4.85E+01,4.96E+01,-1.06E+01,0.97678,-12.372,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.004,0.368,4.16E+01,4.42E+01,-1.49E+01,0.94119,-19.747,60.002,   Error 
2,  2022/04/28,10:21:36,148,120.093,0.426,5.00E+01,5.11E+01,-1.09E+01,0.97692,-12.332,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.05,0.375,4.28E+01,4.50E+01,-1.40E+01,0.95004,-18.188,60.001,   Error 
3,  2022/04/28,10:21:36,649,120.08,0.423,4.90E+01,5.09E+01,-1.37E+01,0.96298,-15.638,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.012,0.379,4.28E+01,4.55E+01,-1.56E+01,0.93976,-19.988,60.001,   Error 
4,  2022/04/28,10:21:37,150,120.087,0.418,4.90E+01,5.02E+01,-1.10E+01,0.97558,-12.687,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,119.989,0.371,4.16E+01,4.45E+01,-1.59E+01,0.93419,-20.902,60.001,   Error 
5,  2022/04/28,10:21:37,695,120.098,0.421,4.92E+01,5.05E+01,-1.15E+01,0.97379,-13.147,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.019,0.362,4.13E+01,4.35E+01,-1.35E+01,0.95061,-18.083,60.002,   Error 
6,  2022/04/28,10:21:38,147,120.088,0.415,4.87E+01,4.99E+01,-1.07E+01,0.97671,-12.389,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.028,0.358,4.09E+01,4.30E+01,-1.33E+01,0.95067,-18.072,60.002,   Error 
7,  2022/04/28,10:21:38,695,120.08,0.427,5.04E+01,5.12E+01,-8.90E+00,0.98472,-10.03,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.013,0.37,4.18E+01,4.44E+01,-1.50E+01,0.94116,-19.754,60.002,   Error 
8,  2022/04/28,10:21:39,146,120.079,0.425,5.02E+01,5.10E+01,-8.90E+00,0.98454,-10.087,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.084,0.378,4.30E+01,4.54E+01,-1.46E+01,0.94712,-18.717,60.002,   Error 
9,  2022/04/28,10:21:39,695,120.085,0.422,4.91E+01,5.06E+01,-1.23E+01,0.97006,-14.057,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.02,0.38,4.34E+01,4.56E+01,-1.41E+01,0.95102,-18.008,60.001,   Error 
10,  2022/04/28,10:21:40,148,120.071,0.424,4.96E+01,5.09E+01,-1.12E+01,0.97538,-12.741,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.003,0.372,4.22E+01,4.46E+01,-1.44E+01,0.94605,-18.906,60.001,   Error 
11,  2022/04/28,10:21:40,646,120.069,0.43,5.04E+01,5.16E+01,-1.11E+01,0.97646,-12.455,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.006,0.383,4.38E+01,4.59E+01,-1.36E+01,0.95497,-17.26,60.002,   Error 
12,  2022/04/28,10:21:41,146,120.078,0.414,4.87E+01,4.97E+01,-1.02E+01,0.97881,-11.817,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,119.994,0.371,4.26E+01,4.45E+01,-1.31E+01,0.95581,-17.096,60.002,   Error 
13,  2022/04/28,10:21:41,646,120.074,0.413,4.82E+01,4.95E+01,-1.16E+01,0.97224,-13.532,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.016,0.366,4.10E+01,4.39E+01,-1.56E+01,0.9343,-20.884,60.001,   Error 
14,  2022/04/28,10:21:42,145,120.064,0.413,4.86E+01,4.95E+01,-9.40E+00,0.98196,-10.9,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.099,0.375,4.24E+01,4.51E+01,-1.53E+01,0.94073,-19.826,60,   Error 
15,  2022/04/28,10:21:42,646,120.072,0.415,4.89E+01,4.98E+01,-9.50E+00,0.98143,-11.06,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.018,0.352,4.00E+01,4.22E+01,-1.34E+01,0.9486,-18.45,60.001,   Error 
16,  2022/04/28,10:21:43,145,120.05,0.419,4.93E+01,5.03E+01,-9.80E+00,0.98077,-11.254,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.086,0.353,3.96E+01,4.23E+01,-1.49E+01,0.93593,-20.622,60,   Error 
17,  2022/04/28,10:21:43,646,120.083,0.427,5.01E+01,5.12E+01,-1.06E+01,0.97824,-11.975,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.02,0.387,4.35E+01,4.64E+01,-1.61E+01,0.93815,-20.258,60.001,   Error 
18,  2022/04/28,10:21:44,146,120.089,0.424,5.00E+01,5.09E+01,-1.00E+01,0.98058,-11.31,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,119.997,0.374,4.24E+01,4.49E+01,-1.46E+01,0.9453,-19.039,60.001,   Error 
19,  2022/04/28,10:21:44,647,120.065,0.41,4.87E+01,4.92E+01,-6.60E+00,0.99085,-7.758,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.087,0.377,4.36E+01,4.52E+01,-1.18E+01,0.96517,-15.166,60,   Error 
20,  2022/04/28,10:21:45,145,120.1,0.416,4.98E+01,5.00E+01,-4.30E+00,0.99637,-4.887,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.029,0.367,4.29E+01,4.40E+01,-9.90E+00,0.97461,-12.938,60,   Error 
21,  2022/04/28,10:21:45,655,120.071,0.409,4.86E+01,4.91E+01,-7.00E+00,0.98989,-8.156,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,119.992,0.352,4.11E+01,4.22E+01,-9.50E+00,0.97458,-12.947,60.001,   Error 
22,  2022/04/28,10:21:46,146,120.101,0.443,5.31E+01,5.32E+01,-4.30E+00,0.99672,-4.641,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.019,0.381,4.47E+01,4.57E+01,-9.40E+00,0.97842,-11.923,60.001,   Error 
23,  2022/04/28,10:21:46,645,120.08,0.448,5.35E+01,5.38E+01,-5.60E+00,0.99465,-5.932,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.094,0.416,4.93E+01,5.00E+01,-8.50E+00,0.98558,-9.744,60.001,   Error 
24,  2022/04/28,10:21:47,154,120.064,0.43,5.14E+01,5.17E+01,-5.40E+00,0.99458,-5.968,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.083,0.384,4.50E+01,4.61E+01,-9.70E+00,0.97734,-12.221,60.002,   Error 
25,  2022/04/28,10:21:47,645,120.085,0.424,5.07E+01,5.09E+01,-5.00E+00,0.99518,-5.63,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.045,0.357,4.20E+01,4.29E+01,-8.90E+00,0.97834,-11.946,60.001,   Error 
26,  2022/04/28,10:21:48,148,120.096,0.447,5.34E+01,5.36E+01,-5.40E+00,0.99494,-5.765,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.064,0.396,4.68E+01,4.75E+01,-8.50E+00,0.98392,-10.29,60,   Error 
27,  2022/04/28,10:21:48,695,120.097,0.41,4.89E+01,4.92E+01,-5.50E+00,0.99375,-6.411,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.037,0.372,4.36E+01,4.46E+01,-9.80E+00,0.97583,-12.622,60.001,   Error 
28,  2022/04/28,10:21:49,146,120.09,0.451,5.39E+01,5.41E+01,-5.10E+00,0.99547,-5.454,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,119.993,0.401,4.70E+01,4.81E+01,-1.01E+01,0.97759,-12.152,60.001,   Error 
29,  2022/04/28,10:21:49,646,120.101,0.46,5.50E+01,5.52E+01,-4.50E+00,0.99666,-4.686,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.033,0.405,4.76E+01,4.86E+01,-9.90E+00,0.97901,-11.761,60.001,   Error 
30,  2022/04/28,10:21:50,150,120.087,0.417,4.97E+01,5.01E+01,-6.30E+00,0.99194,-7.278,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.028,0.378,4.45E+01,4.54E+01,-9.00E+00,0.98009,-11.452,60,   Error 
31,  2022/04/28,10:21:50,646,120.084,0.461,5.51E+01,5.53E+01,-4.50E+00,0.99669,-4.666,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.002,0.413,4.85E+01,4.96E+01,-1.05E+01,0.97741,-12.2,60.001,   Error 
32,  2022/04/28,10:21:51,145,120.083,0.454,5.42E+01,5.46E+01,-6.30E+00,0.99324,-6.664,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120,0.405,4.71E+01,4.86E+01,-1.19E+01,0.96979,-14.12,60.001,   Error 
33,  2022/04/28,10:21:51,694,120.098,0.415,4.97E+01,4.99E+01,-4.70E+00,0.99559,-5.381,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.005,0.354,4.12E+01,4.24E+01,-1.01E+01,0.97105,-13.819,60,   Error 
34,  2022/04/28,10:21:52,145,120.078,0.421,5.02E+01,5.05E+01,-5.60E+00,0.99392,-6.319,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.015,0.359,4.22E+01,4.31E+01,-8.50E+00,0.98045,-11.347,60.001,   Error 
35,  2022/04/28,10:21:52,645,120.074,0.43,5.13E+01,5.16E+01,-5.00E+00,0.99523,-5.598,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,119.993,0.369,4.34E+01,4.43E+01,-8.90E+00,0.97959,-11.597,60.002,   Error 
36,  2022/04/28,10:21:53,145,120.067,0.444,5.30E+01,5.33E+01,-5.70E+00,0.99435,-6.091,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.074,0.385,4.52E+01,4.62E+01,-9.70E+00,0.97774,-12.111,60,   Error 
37,  2022/04/28,10:21:53,695,120.094,0.443,5.30E+01,5.32E+01,-4.70E+00,0.99615,-5.028,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.068,0.401,4.70E+01,4.82E+01,-1.04E+01,0.97619,-12.528,60.001,   Error 
38,  2022/04/28,10:21:54,145,120.057,0.407,4.87E+01,4.89E+01,-3.90E+00,0.99675,-4.618,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.014,0.361,4.23E+01,4.33E+01,-9.60E+00,0.97526,-12.771,60.001,   Error 
39,  2022/04/28,10:21:54,645,120.056,0.411,4.92E+01,4.94E+01,-4.10E+00,0.99654,-4.765,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.095,0.358,4.22E+01,4.29E+01,-7.60E+00,0.98403,-10.255,60,   Error 
40,  2022/04/28,10:21:55,148,120.073,0.457,5.46E+01,5.49E+01,-5.10E+00,0.99559,-5.382,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,119.994,0.389,4.58E+01,4.66E+01,-8.50E+00,0.98335,-10.471,60,   Error 
41,  2022/04/28,10:21:55,694,120.053,0.425,5.05E+01,5.10E+01,-7.20E+00,0.98997,-8.12,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.075,0.378,4.46E+01,4.54E+01,-8.30E+00,0.98294,-10.598,60.001,   Error 
42,  2022/04/28,10:21:56,145,120.044,0.446,5.33E+01,5.35E+01,-4.80E+00,0.996,-5.129,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.061,0.391,4.62E+01,4.69E+01,-8.60E+00,0.98318,-10.523,60.001,   Error 
43,  2022/04/28,10:21:56,645,120.087,0.458,5.48E+01,5.50E+01,-4.80E+00,0.99618,-5.011,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.065,0.415,4.93E+01,4.98E+01,-7.20E+00,0.98938,-8.356,60,   Error 
44,  2022/04/28,10:21:57,144,120.093,0.442,5.29E+01,5.31E+01,-5.00E+00,0.99559,-5.383,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.017,0.4,4.72E+01,4.80E+01,-8.90E+00,0.98278,-10.647,60.001,   Error 
45,  2022/04/28,10:21:57,694,120.079,0.452,5.41E+01,5.43E+01,-4.90E+00,0.99595,-5.156,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,119.99,0.425,4.98E+01,5.10E+01,-1.09E+01,0.97704,-12.301,60.002,   Error 
46,  2022/04/28,10:21:58,145,120.047,0.429,5.12E+01,5.15E+01,-5.60E+00,0.99406,-6.249,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.053,0.373,4.39E+01,4.48E+01,-9.30E+00,0.9782,-11.987,60.001,   Error 
47,  2022/04/28,10:21:58,664,120.059,0.445,5.32E+01,5.34E+01,-5.40E+00,0.99489,-5.794,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.067,0.402,4.73E+01,4.83E+01,-9.70E+00,0.97948,-11.627,60,   Error 
48,  2022/04/28,10:21:59,157,120.097,0.414,4.95E+01,4.97E+01,-4.40E+00,0.99604,-5.1,59.999,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.027,0.372,4.38E+01,4.47E+01,-9.00E+00,0.97962,-11.587,60.002,   Error 
49,  2022/04/28,10:21:59,647,120.065,0.468,5.60E+01,5.62E+01,-5.50E+00,0.99523,-5.596,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.006,0.398,4.68E+01,4.77E+01,-9.50E+00,0.97995,-11.491,60.001,   Error 
50,  2022/04/28,10:22:00,145,120.043,0.4,4.72E+01,4.80E+01,-9.20E+00,0.98162,-11.002,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.049,0.375,4.23E+01,4.51E+01,-1.56E+01,0.93798,-20.285,60.001,   Error 
51,  2022/04/28,10:22:00,646,120.043,0.47,5.56E+01,5.64E+01,-9.80E+00,0.98482,-9.996,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.067,0.417,4.82E+01,5.00E+01,-1.34E+01,0.96333,-15.565,60.002,   Error 
52,  2022/04/28,10:22:01,145,120.071,0.473,5.58E+01,5.68E+01,-1.07E+01,0.98225,-10.811,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.106,0.425,4.91E+01,5.10E+01,-1.39E+01,0.96215,-15.813,60.002,   Error 
53,  2022/04/28,10:22:01,648,120.093,0.469,5.51E+01,5.63E+01,-1.17E+01,0.97821,-11.982,60.002,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.034,0.416,4.79E+01,5.00E+01,-1.44E+01,0.95764,-16.737,60.001,   Error 
54,  2022/04/28,10:22:02,144,120.095,0.461,5.45E+01,5.54E+01,-9.70E+00,0.98447,-10.11,60,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.042,0.4,4.60E+01,4.80E+01,-1.38E+01,0.95781,-16.702,60,   Error 
55,  2022/04/28,10:22:02,647,120.055,0.424,4.98E+01,5.09E+01,-1.05E+01,0.97856,-11.886,60.001,   Error ,NAN,NAN,NAN,NAN,NAN,NAN,120.043,0.374,4.27E+01,4.49E+01,-1.38E+01,0.95143,-17.931,60.001,   Error 
